volume peso recompensa duração(s) express
10 3 547 766 0
16 22 1579 619 0
16 29 1694 404 0
26 7 738 375 0
6 22 794 783 0
22 3 338 357 0
10 26 410 192 0
19 22 735 193 0
19 13 1688 640 0
29 26 719 600 0
6 3 615 970 0
22 19 287 752 0
23 20 437 996 0
9 22 452 901 0
19 13 1537 614 0
13 26 1253 542 0
25 19 1753 524 0
6 10 1572 528 0
10 26 1229 237 0
13 25 1467 1058 0
13 26 1073 1066 0
10 10 1285 483 0
9 19 775 997 0
16 29 1739 656 0
16 29 533 935 0
9 6 748 381 0
22 13 709 953 0
3 3 575 287 0
28 9 1185 918 0
6 19 486 789 0
16 13 654 720 0
3 22 1662 201 0
16 3 262 658 0
3 10 1475 786 0
6 3 453 537 0
22 16 1175 863 0
29 10 1463 145 0
3 13 1889 538 0
6 29 1800 116 0
7 7 1524 189 0
19 13 1904 276 0
6 29 1859 261 0
3 3 715 977 0
13 13 1714 399 0
22 10 1079 154 0
13 29 719 531 0
3 16 1456 192 0
13 3 795 302 0
13 13 1008 398 0
22 13 1897 272 0
29 22 561 236 0
29 26 1724 482 0
19 25 844 478 0
6 26 1143 180 0
16 26 1789 1077 0
16 19 1873 697 0
26 19 244 1055 0
23 13 206 128 0
3 16 220 351 0
6 6 631 145 0
10 3 1641 417 0
9 13 211 1039 0
26 16 1296 524 0
16 29 1593 882 0
25 16 1200 591 0
6 16 1023 132 0
13 10 1614 331 0
3 19 952 540 0
22 13 226 631 0
20 10 1569 720 0
22 25 1227 810 0
10 19 1278 267 0
23 29 1789 900 0
25 25 371 509 0
22 22 930 324 0
13 29 1255 923 0
9 25 1529 1008 0
22 16 1598 841 0
20 26 1863 104 0
19 22 1804 622 0
6 13 1201 715 0
20 7 386 964 0
25 22 1331 509 0
16 19 234 1001 0
10 13 419 950 0
25 28 1521 284 0
13 3 203 818 0
3 13 1502 270 0
28 16 827 999 0
29 29 969 833 0
3 20 1434 362 0
13 3 455 292 0
16 13 1477 513 0
26 20 1645 318 0
13 25 550 100 0
16 13 671 726 0
23 26 1594 1052 0
13 6 223 597 0
26 10 574 593 0
16 23 746 416 0
3 19 1928 713 0
16 10 396 514 0
7 23 907 152 0
22 3 1492 283 0
29 10 483 1038 0
23 23 1382 991 0
3 13 685 443 0
22 19 1628 332 0
20 23 1236 246 0
22 25 914 337 0
6 22 562 614 0
3 16 1796 762 0
6 6 1445 1014 0
26 13 1295 104 0
10 7 1801 301 0
3 13 1210 892 0
16 29 1883 380 0
29 20 1704 502 0
19 3 1814 369 0
19 3 784 755 0
10 29 1488 1094 0
28 19 828 888 0
16 6 1188 697 0
13 23 1714 347 0
13 3 699 1056 0
26 19 1397 1043 0
7 7 501 800 0
9 13 1442 168 0
19 6 217 732 0
10 16 1202 634 0
19 25 305 782 0
26 6 1156 1073 0
29 13 1014 130 0
6 19 1243 977 0
3 22 940 937 0
7 29 743 826 0
16 28 875 1094 0
10 29 676 526 0
23 26 1913 600 0
16 6 1907 397 0
10 13 347 187 0
7 16 789 650 0
9 25 849 1008 0
6 22 597 540 0
3 23 571 632 0
13 16 1838 354 0
26 22 1065 616 0
7 13 734 917 0
19 3 1982 619 0
19 22 1260 355 0
10 29 1065 111 0
28 22 330 563 0
10 6 1765 970 0
3 10 984 463 0
6 16 618 1039 0
3 3 355 869 0
7 10 1672 419 0
22 28 1002 795 0
26 26 1170 838 0
7 20 1577 1043 0
22 19 602 291 0
6 6 779 122 0
26 29 267 777 0
19 28 486 840 0
16 3 279 744 0
7 26 1257 632 0
22 9 1805 279 0
6 16 647 872 0
20 20 418 893 0
19 9 1897 881 0
22 22 318 898 0
29 16 584 203 0
16 22 491 581 0
16 3 477 194 0
29 20 1972 641 0
9 16 814 281 0
13 6 1475 889 0
7 20 1241 674 0
16 28 1863 653 0
22 10 1233 546 0
20 13 848 198 0
22 22 626 1048 0
13 10 629 410 0
29 16 1442 123 0
19 16 1319 385 0
19 16 1012 845 0
20 16 1200 991 0
25 22 580 176 0
19 6 324 237 0
10 13 414 478 0
28 6 1953 299 0
16 29 1142 878 0
13 3 690 686 0
19 28 213 755 0
22 29 1448 487 0
26 7 618 442 0
19 28 512 778 0
6 13 1713 686 0
3 13 1313 1080 0
16 16 1633 195 0
6 29 834 900 0
20 3 1785 160 0
16 28 935 528 0
16 29 1083 521 0
7 7 828 643 0
28 6 1636 436 0
3 19 901 980 0
20 16 823 524 0
9 6 1467 681 0
3 13 355 737 0
20 23 1551 986 0
22 28 1717 549 0
29 10 243 775 0
13 23 916 1026 0
19 3 638 618 0
10 22 1694 969 0
13 26 1639 927 0
19 3 1547 279 0
13 6 1062 195 0
20 7 894 300 0
19 16 1489 751 0
19 19 1990 106 0
29 26 1522 215 0
16 3 704 1025 0
16 16 878 697 0
13 29 626 332 0
28 6 1208 309 0
19 19 1956 207 0
7 29 598 161 0
19 3 522 1009 0
26 26 1261 1009 0
20 13 1054 815 0
6 19 996 631 0
19 22 691 728 0
20 23 204 293 0
9 9 427 447 0
19 13 884 455 0
3 10 1791 520 0
19 13 1040 651 0
6 22 666 504 0
10 13 1315 328 0
13 6 1987 926 0
16 29 1002 441 0
29 23 1148 789 0
22 6 683 553 0
10 6 542 430 0
23 29 957 387 0
16 16 706 408 0
19 22 1897 986 0
13 13 967 355 0
25 13 546 1056 0
19 13 1875 107 0
29 10 1657 287 0
3 13 1306 202 0
16 3 227 464 0
13 20 1951 729 0
13 6 1699 1020 0
22 19 470 470 0
13 23 560 244 0
25 22 861 590 0
19 22 1440 777 0
23 23 1366 481 0
28 19 1240 826 0
26 6 774 314 0
23 7 936 609 0
19 16 1351 615 0
19 26 309 271 0
7 10 1630 963 0
22 22 265 766 0
29 19 1268 1095 0
23 29 1232 389 0
28 16 327 1010 0
22 3 1565 763 0
13 16 1785 297 0
13 6 580 558 0
22 29 1500 828 0
7 16 764 617 0
28 25 952 377 0
10 19 709 692 0
20 13 636 446 0
16 3 1518 1053 0
10 6 1747 577 0
23 3 1396 143 0
25 22 471 448 0
26 22 1513 447 0
3 3 699 786 0
3 13 530 916 0
6 10 465 900 0
3 13 751 234 0
6 6 1058 294 0
3 3 1563 535 0
10 23 1205 1088 0
6 19 1185 822 0
19 26 836 356 0
7 13 1210 414 0
6 19 406 430 0
16 16 772 229 0
3 23 697 699 0
19 22 1200 449 0
13 10 606 592 0
23 7 983 372 0
22 28 347 1058 0
16 16 527 1100 0
23 20 1786 1041 0
22 9 1509 598 0
6 10 713 921 0
20 16 851 446 0
25 13 609 1070 0
22 10 1848 196 0
3 16 1391 846 0
28 22 1166 491 0
26 29 610 917 0
16 29 1730 638 0
6 6 1921 197 0
26 22 1165 1100 0
23 16 1936 498 0
13 6 490 406 0
10 29 1194 399 0
23 23 881 353 0
19 6 1813 756 0
6 3 1176 551 0
13 13 1679 146 0
28 6 707 517 0
26 16 1303 358 0
7 3 1607 273 0
13 9 1857 1017 0
19 29 1523 353 0
10 26 1843 187 0
6 6 442 900 0
19 10 1820 348 0
7 10 801 919 0
3 22 1768 195 0
3 16 1105 256 0
16 3 836 819 0
22 25 224 467 0
10 10 553 631 0
13 16 1894 625 0
3 16 753 124 0
29 16 1369 817 0
20 23 1325 338 0
13 25 1026 365 0
19 6 1108 1031 0
13 13 1710 800 0
16 16 287 918 0
