volume peso recompensa duração(s)
16 29 1142 878 1
13 3 690 686 1
19 28 213 755 1
22 29 1448 487 1
26 7 618 442 1
19 28 512 778 1
6 13 1713 686 1
3 13 1313 1080 1
16 16 1633 195 1
6 29 834 900 1
20 3 1785 160 1
16 28 935 528 1
16 29 1083 521 1
7 7 828 643 1
28 6 1636 436 1
3 19 901 980 1
20 16 823 524 1
9 6 1467 681 1
3 13 355 737 1
20 23 1551 986 1
22 28 1717 549 1
29 10 243 775 1
13 23 916 1026 1
19 3 638 618 1
10 22 1694 969 1
13 26 1639 927 1
19 3 1547 279 1
13 6 1062 195 1
20 7 894 300 1
19 16 1489 751 1
19 19 1990 106 1
29 26 1522 215 1
16 3 704 1025 1
16 16 878 697 1
13 29 626 332 1
28 6 1208 309 1
19 19 1956 207 1
7 29 598 161 1
19 3 522 1009 1
26 26 1261 1009 1
20 13 1054 815 1
6 19 996 631 1
19 22 691 728 1
20 23 204 293 1
9 9 427 447 1
19 13 884 455 1
3 10 1791 520 1
19 13 1040 651 1
6 22 666 504 1
10 13 1315 328 1
13 6 1987 926 1
16 29 1002 441 1
29 23 1148 789 1
22 6 683 553 1
10 6 542 430 1
23 29 957 387 1
16 16 706 408 1
19 22 1897 986 1
13 13 967 355 1
25 13 546 1056 1
19 13 1875 107 1
29 10 1657 287 1
3 13 1306 202 1
16 3 227 464 1
13 20 1951 729 1
13 6 1699 1020 1
22 19 470 470 1
13 23 560 244 1
25 22 861 590 1
19 22 1440 777 1
23 23 1366 481 1
28 19 1240 826 1
26 6 774 314 1
23 7 936 609 1
19 16 1351 615 1
19 26 309 271 1
7 10 1630 963 1
22 22 265 766 1
29 19 1268 1095 1
23 29 1232 389 1
28 16 327 1010 1
22 3 1565 763 1
13 16 1785 297 1
13 6 580 558 1
22 29 1500 828 1
7 16 764 617 1
28 25 952 377 1
10 19 709 692 1
20 13 636 446 1
16 3 1518 1053 1
10 6 1747 577 1
23 3 1396 143 1
25 22 471 448 1
26 22 1513 447 1
3 3 699 786 1
3 13 530 916 1
6 10 465 900 1
3 13 751 234 1
6 6 1058 294 1
3 3 1563 535 1
10 23 1205 1088 1
6 19 1185 822 1
19 26 836 356 1
7 13 1210 414 1
6 19 406 430 1
16 16 772 229 1
3 23 697 699 1
19 22 1200 449 1
13 10 606 592 1
23 7 983 372 1
22 28 347 1058 1
16 16 527 1100 1
23 20 1786 1041 1
22 9 1509 598 1
6 10 713 921 1
20 16 851 446 1
25 13 609 1070 1
22 10 1848 196 1
3 16 1391 846 1
28 22 1166 491 1
26 29 610 917 1
16 29 1730 638 1
6 6 1921 197 1
26 22 1165 1100 1
23 16 1936 498 1
13 6 490 406 1
10 29 1194 399 1
23 23 881 353 1
19 6 1813 756 1
6 3 1176 551 1
13 13 1679 146 1
28 6 707 517 1
26 16 1303 358 1
7 3 1607 273 1
13 9 1857 1017 1
19 29 1523 353 1
10 26 1843 187 1
6 6 442 900 1
19 10 1820 348 1
7 10 801 919 1
3 22 1768 195 1
3 16 1105 256 1
16 3 836 819 1
22 25 224 467 1
10 10 553 631 1
13 16 1894 625 1
3 16 753 124 1
29 16 1369 817 1
20 23 1325 338 1
13 25 1026 365 1
19 6 1108 1031 1
13 13 1710 800 1
16 16 287 918 1
